Région;Départements;Code commune;Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €
Ile de France;PARIS;754101;PARIS 01;640;2 121 567;12 457
Ile de France;PARIS;754102;PARIS 02;318;1 508 649;5 571
Ile de France;PARIS;754103;PARIS 03;827;1 877 143;9 366
Ile de France;PARIS;754104;PARIS 04;1 187;2 159 740;12 244
Ile de France;PARIS;758105;PARIS 05;2 299;1 825 959;8 919
Ile de France;PARIS;758106;PARIS 06;3 733;2 337 123;13 967
Ile de France;PARIS;757107;PARIS 07;5 662;2 846 304;19 789
Ile de France;PARIS;756108;PARIS 08;3 088;2 717 581;19 288
Ile de France;PARIS;754109;PARIS 09;1 371;1 690 841;7 599
Ile de France;PARIS;754110;PARIS 10;681;1 502 251;5 630
Ile de France;PARIS;755111;PARIS 11;1 722;1 531 745;6 129
Ile de France;PARIS;755112;PARIS 12;2 155;1 547 124;6 135
Ile de France;PARIS;758113;PARIS 13;1 908;1 497 047;5 569
Ile de France;PARIS;758114;PARIS 14;3 006;1 636 499;6 869
Ile de France;PARIS;757115;PARIS 15;6 692;1 618 657;6 849
Ile de France;PARIS;757116;PARIS 16;15 343;2 534 852;16 394
Ile de France;PARIS;756117;PARIS 17;5 926;1 953 520;10 124
Ile de France;PARIS;756118;PARIS 18;1 266;1 640 550;7 031
Ile de France;PARIS;755119;PARIS 19;1 042;1 470 834;5 486
Ile de France;PARIS;755120;PARIS 20;1 049;1 349 987;4 196
Ile de France;SEINE ET MARNE;770108;CHELLES;157;1 246 933;3 359
Ile de France;SEINE ET MARNE;770152;DAMMARIE LES LYS;67;1 322 429;4 216
Ile de France;SEINE ET MARNE;770284;MEAUX;176;1 451 486;5 109
Ile de France;SEINE ET MARNE;770288;MELUN;171;1 467 601;5 711
Ile de France;SEINE ET MARNE;770350;OZOIR LA FERRIERE;86;1 356 933;4 438
Ile de France;SEINE ET MARNE;770373;PONTAULT COMBAULT;85;1 215 573;3 299
Ile de France;YVELINES;780126;LA CELLE ST CLOUD;619;1 724 682;7 878
Ile de France;YVELINES;780146;CHATOU;703;1 569 956;6 235
Ile de France;YVELINES;780158;LE CHESNAY;833;1 502 802;5 806
Ile de France;YVELINES;780172;CONFLANS STE HONORINE;130;1 304 729;3 925
Ile de France;YVELINES;780208;ELANCOURT;85;1 187 198;2 967
Ile de France;YVELINES;780297;GUYANCOURT;63;1 165 851;2 985
Ile de France;YVELINES;780311;HOUILLES;189;1 185 729;2 898
Ile de France;YVELINES;780358;MAISONS-LAFFITTE;671;1 581 887;6 322
Ile de France;YVELINES;780361;MANTES-LA JOLIE;109;1 491 461;5 568
Ile de France;YVELINES;780423;MONTIGNY LE BRETONNEUX;86;1 169 667;2 824
Ile de France;YVELINES;780490;PLAISIR;152;1 397 067;4 808
Ile de France;YVELINES;780498;POISSY;181;1 334 014;4 237
Ile de France;YVELINES;780517;RAMBOUILLET;260;1 398 486;4 823
Ile de France;YVELINES;780551;ST GERMAIN EN LAYE;1 266;1 682 141;7 308
Ile de France;YVELINES;780586;SARTROUVILLE;175;1 292 634;3 998
Ile de France;YVELINES;780640;VELIZY VILLACOUBLAY;125;1 223 955;3 255
Ile de France;YVELINES;780646;VERSAILLES;2 952;1 617 385;6 735
Ile de France;ESSONNE;910027;ATHIS MONS;76;1 375 218;4 639
Ile de France;ESSONNE;910103;BRETIGNY SUR ORGE;55;1 178 576;2 825
Ile de France;ESSONNE;910114;BRUNOY;199;1 401 513;4 629
Ile de France;ESSONNE;910174;CORBEIL ESSONNES;88;1 262 520;3 717
Ile de France;ESSONNE;910201;DRAVEIL;130;1 383 254;4 640
