Région;Départements;Code commune (INSEE);Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €
Alsace;BAS-RHIN;67180;HAGUENAU; 189   ; 1 591 473   ; 7 301   
Alsace;BAS-RHIN;67218;ILLKIRCH GRAFFENSTADEN; 162   ; 1 265 560   ; 3 386   
Alsace;BAS-RHIN;67447;SCHILTIGHEIM; 105   ; 1 565 762   ; 5 966   
Alsace;BAS-RHIN;67482;STRASBOURG; 2 261   ; 1 895 828   ; 9 258   
Alsace;HAUT-RHIN;68066;COLMAR; 351   ; 1 552 814   ; 5 908   
Alsace;HAUT-RHIN;68224;MULHOUSE; 494   ; 1 644 681   ; 6 856   
Alsace;HAUT-RHIN;68297;SAINT-LOUIS; 78   ; 1 493 900   ; 5 233   
Aquitaine;DORDOGNE;24037;BERGERAC; 177   ; 1 369 143   ; 4 016   
Aquitaine;DORDOGNE;24322;PERIGUEUX; 175   ; 1 660 941   ; 7 179   
Aquitaine;GIRONDE;33039;BEGLES; 56   ; 1 299 757   ; 3 516   
Aquitaine;GIRONDE;33063;BORDEAUX; 2 785   ; 1 634 290   ; 6 616   
Aquitaine;GIRONDE;33192;GRADIGNAN; 163   ; 1 451 897   ; 5 034   
Aquitaine;GIRONDE;33529;LA TESTE DE BUCH; 259   ; 1 390 385   ; 4 275   
Aquitaine;GIRONDE;33069;LE BOUSCAT; 389   ; 1 557 459   ; 5 841   
Aquitaine;GIRONDE;33243;LIBOURNE; 185   ; 1 539 568   ; 5 352   
Aquitaine;GIRONDE;33281;MERIGNAC; 356   ; 1 318 600   ; 3 710   
Aquitaine;GIRONDE;33318;PESSAC; 309   ; 1 439 588   ; 4 880   
Aquitaine;GIRONDE;33449;SAINT-MEDARD-EN-JALLES; 133   ; 1 348 566   ; 3 789   
Aquitaine;GIRONDE;33522;TALENCE; 214   ; 1 336 021   ; 3 807   
Aquitaine;GIRONDE;33550;VILLENAVE-D'ORNON; 109   ; 1 903 460   ; 8 489   
;LANDES;40088;DAX; 173   ; 1 485 592   ; 5 137   
Aquitaine;LANDES;40192;MONT-DE-MARSAN; 150   ; 1 375 546   ; 4 196   
Aquitaine;LOT-ET-GARONNE;47001;AGEN; 179   ; 1 476 294   ; 5 397   
Aquitaine;LOT-ET-GARONNE;47323;VILLENEUVE SUR LOT; 136   ; 1 379 393   ; 4 250   
Aquitaine;PYRENEES-ATLANTIQUES;64024;ANGLET; 495   ; 1 564 719   ; 6 416   
Aquitaine;PYRENEES-ATLANTIQUES;64102;BAYONNE; 300   ; 1 531 251   ; 5 514   
Aquitaine;PYRENEES-ATLANTIQUES;64122;BIARRITZ; 635   ; 1 491 121   ; 5 257   
Aquitaine;PYRENEES-ATLANTIQUES;64445;PAU; 670   ; 1 436 550   ; 4 776   
Auvergne;ALLIER;03185;MONTLUCON; 205   ; 1 448 259   ; 4 694   
Auvergne;ALLIER;03190;MOULINS; 106   ; 1 426 785   ; 4 801   
Auvergne;ALLIER;03310;VICHY; 293   ; 1 336 576   ; 3 949   
Auvergne;CANTAL;15014;AURILLAC; 181   ; 1 436 970   ; 4 939   
