Région;Départements;Code commune (INSEE);Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €;
Alsace;BAS-RHIN;67180;HAGUENAU                      ;219;1 619 064;6 016;
Alsace;BAS-RHIN;67218;ILLKIRCH GRAFFENSTADEN        ;188;1 307 776;3 560;
Alsace;BAS-RHIN;67447;SCHILTIGHEIM                  ;116;1 606 940;6 224;
Alsace;BAS-RHIN;67482;STRASBOURG                    ;2 530;1 939 805;9 670;
Alsace;HAUT-RHIN;68066;COLMAR                        ;406;1 633 799;6 544;
Alsace;HAUT-RHIN;68224;MULHOUSE                      ;561;1 672 216;6 727;
Alsace;HAUT-RHIN;68297;SAINT LOUIS                   ;93;1 502 197;5 264;
Aquitaine;DORDOGNE;24037;BERGERAC                      ;192;1 460 863;4 697;
Aquitaine;DORDOGNE;24322;PERIGUEUX                     ;212;1 750 413;7 913;
Aquitaine;GIRONDE;33039;BEGLES                        ;72;1 305 991;3 459;
Aquitaine;GIRONDE;33063;BORDEAUX                      ;3 119;1 697 987;7 042;
Aquitaine;GIRONDE;33192;GRADIGNAN                     ;204;1 439 648;4 701;
Aquitaine;GIRONDE;33529;LA TESTE DE BUCH              ;336;1 459 210;5 023;
Aquitaine;GIRONDE;33069;LE BOUSCAT                    ;439;1 797 473;9 400;
Aquitaine;GIRONDE;33243;LIBOURNE                      ;209;1 676 415;6 235;
Aquitaine;GIRONDE;33281;MERIGNAC                      ;424;1 357 312;3 907;
Aquitaine;GIRONDE;33318;PESSAC                        ;400;1 463 524;4 962;
Aquitaine;GIRONDE;33449;SAINT-MEDARD-EN-JALLES        ;157;1 423 239;4 254;
Aquitaine;GIRONDE;33522;TALENCE                       ;272;1 361 246;3 831;
Aquitaine;GIRONDE;33550;VILLENAVE-D'ORNON             ;128;1 870 954;8 045;
Aquitaine;LANDES;40088;DAX                           ;199;1 782 848;7 820;
Aquitaine;LANDES;40192;MONT-DE-MARSAN                ;163;1 417 938;4 356;
Aquitaine;LOT-ET-GARONNE;47001;AGEN                          ;210;1 510 928;5 723;
Aquitaine;LOT-ET-GARONNE;47323;VILLENEUVE SUR LOT            ;148;1 426 681;4 572;
Aquitaine;PYRENEES-ATLANTIQUES;64024;ANGLET                        ;605;1 505 932;5 575;
Aquitaine;PYRENEES-ATLANTIQUES;64102;BAYONNE                       ;357;1 624 735;6 344;
Aquitaine;PYRENEES-ATLANTIQUES;64122;BIARRITZ                      ;767;1 561 449;5 962;
Aquitaine;PYRENEES-ATLANTIQUES;64445;PAU                           ;784;1 470 175;4 911;
Auvergne;ALLIER;03185;MONTLUCON                     ;226;1 497 275;5 030;
Auvergne;ALLIER;03190;MOULINS                       ;119;1 437 118;4 701;
Auvergne;ALLIER;03310;VICHY                         ;336;1 393 027;4 291;
Auvergne;CANTAL;15014;AURILLAC                      ;205;1 489 534;5 091;
Auvergne;HAUTE-LOIRE;43157;LE PUY-EN-VELAY               ;124;1 533 372;5 782;
Auvergne;PUY-DE-DOME;63113;CLERMONT-FERRAND              ;794;1 587 924;6 352;
Basse-Normandie;CALVADOS;14118;CAEN                          ;1 038;1 720 323;7 094;
Basse-Normandie;CALVADOS;14366;LISIEUX                       ;125;1 507 204;5 081;
Basse-Normandie;MANCHE;50129;CHERBOURG OCTEVILLE           ;196;1 563 038;5 707;
Basse-Normandie;MANCHE;50502;SAINT LO                      ;95;1 500 426;5 107;
Basse-Normandie;ORNE;61001;ALENCON                       ;126;1 624 677;6 620;
Bourgogne;COTE-D'OR;21054;BEAUNE                        ;240;1 534 044;5 281;
Bourgogne;COTE-D'OR;21231;DIJON                         ;1 311;1 612 487;7 417;
Bourgogne;NIEVRE;58194;NEVERS                        ;209;1 519 003;5 319;
Bourgogne;SAONE-ET-LOIRE;71076;CHALON SUR SAONE              ;288;1 474 688;5 177;
Bourgogne;SAONE-ET-LOIRE;71153;LE CREUSOT                    ;88;1 343 720;3 788;
Bourgogne;SAONE-ET-LOIRE;71270;MACON                         ;215;1 786 216;9 856;
Bourgogne;SAONE-ET-LOIRE;71306;MONTCEAU LES MINES            ;54;1 320 704;3 702;
Bourgogne;YONNE;89024;AUXERRE                       ;250;1 419 253;4 664;
Bourgogne;YONNE;89387;SENS                          ;192;1 671 595;7 206;
Bretagne;COTES-D'ARMOR;22278;SAINT-BRIEUC                  ;350;1 545 545;5 682;
Bretagne;FINISTERE;29019;BREST                         ;533;1 688 456;6 745;
Bretagne;FINISTERE;29039;CONCARNEAU                    ;189;1 720 778;7 570;
Bretagne;FINISTERE;29232;QUIMPER                       ;414;1 495 747;5 435;
Bretagne;ILLE-ET-VILAINE;35115;FOUGERES                      ;127;1 474 996;4 775;
Bretagne;ILLE-ET-VILAINE;35238;RENNES                        ;2 068;1 640 984;6 669;
Bretagne;ILLE-ET-VILAINE;35288;SAINT MALO                    ;709;1 505 656;5 359;
Bretagne;MORBIHAN;56121;LORIENT                       ;272;1 554 077;5 553;
Bretagne;MORBIHAN;56260;VANNES                        ;760;1 555 578;5 857;
Centre;CHER;18033;BOURGES                       ;424;1 673 628;7 069;
Centre;CHER;18279;VIERZON                       ;117;1 462 180;5 175;
