Région;Département;Code commune (INSEE);Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €;;
Alsace;BAS-RHIN;67180;HAGUENAU;228;1 675 388;5 561;;
Alsace;BAS-RHIN;67218;ILLKIRCH-GRAFFENSTADEN;195;1 342 409;2 802;;
Alsace;BAS-RHIN;67447;SCHILTIGHEIM;126;1 595 616;5 081;;
Alsace;BAS-RHIN;67482;STRASBOURG;2 693;1 965 049;8 531;;
Alsace;HAUT-RHIN;68066;COLMAR;434;1 635 569;5 348;;
Alsace;HAUT-RHIN;68224;MULHOUSE;576;1 707 529;5 814;;
Alsace;HAUT-RHIN;68297;SAINT-LOUIS;95;1 540 099;4 916;;
Aquitaine;DORDOGNE;24037;BERGERAC;200;1 472 045;4 206;;
Aquitaine;DORDOGNE;24322;PERIGUEUX;227;1 713 225;7 369;;
Aquitaine;GIRONDE;33039;BEGLES;79;1 338 750;3 452;;
Aquitaine;GIRONDE;33063;BORDEAUX;3 480;1 711 375;6 279;;
Aquitaine;GIRONDE;33119;CENON;51;1 615 290;3 659;;
Aquitaine;GIRONDE;33192;GRADIGNAN;220;1 435 969;4 307;;
Aquitaine;GIRONDE;33529;LATESTE-DE-BUCH;374;1 529 514;5 184;;
Aquitaine;GIRONDE;33069;LEBOUSCAT;481;2 076 005;12 825;;
Aquitaine;GIRONDE;33243;LIBOURNE;222;1 667 246;5 482;;
Aquitaine;GIRONDE;33281;MERIGNAC;489;1 418 046;3 593;;
Aquitaine;GIRONDE;33318;PESSAC;408;1 457 331;4 739;;
Aquitaine;GIRONDE;33449;SAINT-MEDARD-EN-JALLES;178;1 409 657;3 785;;
Aquitaine;GIRONDE;33522;TALENCE;291;1 388 382;3 409;;
Aquitaine;GIRONDE;33550;VILLENAVE-D'ORNON;139;1 826 688;7 283;;
Aquitaine;LANDES;40088;DAX;207;1 532 570;5 503;;
Aquitaine;LANDES;40192;MONT-DE-MARSAN;166;1 455 052;3 941;;
Aquitaine;LOT-ET-GARONNE;47001;AGEN;212;1 678 180;7 080;;
Aquitaine;LOT-ET-GARONNE;47323;VILLENEUVE-SUR-LOT;159;1 495 904;4 252;;
Aquitaine;PYRENEES-ATLANTIQUES;64024;ANGLET;660;1 535 250;5 112;;
Aquitaine;PYRENEES-ATLANTIQUES;64102;BAYONNE;393;1 611 657;5 428;;
Aquitaine;PYRENEES-ATLANTIQUES;64122;BIARRITZ;809;1 575 743;5 359;;
Aquitaine;PYRENEES-ATLANTIQUES;64445;PAU;842;1 498 961;4 568;;
Auvergne;ALLIER;03185;MONTLUCON;238;1 627 288;5 856;;
Auvergne;ALLIER;03190;MOULINS;133;1 460 351;4 015;;
Auvergne;ALLIER;03310;VICHY;336;1 491 269;4 997;;
Auvergne;CANTAL;15014;AURILLAC;217;1 520 705;4 873;;
Auvergne;HAUTE-LOIRE;43157;LEPUY-EN-VELAY;131;1 561 243;4 956;;
Auvergne;PUY-DE-DOME;63113;CLERMONT-FERRAND;874;1 640 974;6 001;;
Basse-Normandie;CALVADOS;14118;CAEN;1 103;1 708 060;6 029;;
Basse-Normandie;CALVADOS;14366;LISIEUX;134;1 522 209;4 469;;
Basse-Normandie;MANCHE;50129;CHERBOURG-OCTEVILLE;214;1 550 072;4 056;;
Basse-Normandie;MANCHE;50502;SAINT-LO;108;1 482 781;4 351;;
Basse-Normandie;ORNE;61001;ALENCON;141;1 612 030;4 958;;
Bourgogne;COTE-D'OR;21054;BEAUNE;255;1 550 849;4 396;;
Bourgogne;COTE-D'OR;21231;DIJON;1 360;1 623 242;5 651;;
Bourgogne;NIEVRE;58194;NEVERS;226;1 579 533;5 099;;
Bourgogne;SAONE-ET-LOIRE;71076;CHALON-SUR-SAONE;293;1 475 425;4 334;;
Bourgogne;SAONE-ET-LOIRE;71153;LECREUSOT;95;1 335 232;3 336;;
Bourgogne;SAONE-ET-LOIRE;71270;MACON;231;1 786 832;9 013;;
Bourgogne;SAONE-ET-LOIRE;71306;MONTCEAU-LES-MINES;57;1 406 483;3 933;;
Bourgogne;YONNE;89024;AUXERRE;273;1 436 769;4 089;;
Bourgogne;YONNE;89387;SENS;207;1 708 800;6 361;;
Bretagne;COTES-D'ARMOR;22278;SAINT-BRIEUC;376;1 616 509;5 249;;
Bretagne;FINISTERE;29019;BREST;574;1 701 871;6 115;;
Bretagne;FINISTERE;29039;CONCARNEAU;192;1 764 987;6 428;;
Bretagne;FINISTERE;29232;QUIMPER;454;1 507 825;4 332;;
Bretagne;ILLE-ET-VILAINE;35115;FOUGERES;135;1 501 940;4 308;;
Bretagne;ILLE-ET-VILAINE;35238;RENNES;2 268;1 654 571;5 487;;
Bretagne;ILLE-ET-VILAINE;35288;SAINT-MALO;815;1 536 422;4 738;;
Bretagne;MORBIHAN;56121;LORIENT;300;1 526 510;4 457;;
Bretagne;MORBIHAN;56260;VANNES;855;1 576 995;4 618;;
Centre;CHER;18033;BOURGES;452;1 682 745;6 757;;
Centre;CHER;18279;VIERZON;115;1 504 956;5 211;;
Centre;EURE-ET-LOIR;28085;CHARTRES;482;1 575 580;5 073;;
Centre;EURE-ET-LOIR;28134;DREUX;131;1 637 031;5 971;;
Centre;INDRE;36044;CHATEAUROUX;254;1 720 998;6 425;;
Centre;INDRE-ET-LOIRE;37122;JOUE-LES-TOURS;170;1 449 137;3 373;;
Centre;INDRE-ET-LOIRE;37261;TOURS;1 260;1 548 425;4 804;;
Centre;LOIR-ET-CHER;41018;BLOIS;317;1 509 989;4 819;;
Centre;LOIRET;45147;FLEURY-LES-AUBRAIS;58;1 361 603;3 553;;
Centre;LOIRET;45232;OLIVET;344;1 439 216;3 744;;
Centre;LOIRET;45234;ORLEANS;1 141;1 541 460;4 625;;
Champagne-Ardenne;ARDENNES;08105;CHARLEVILLE-MEZIERES;245;1 493 096;4 206;;
Champagne-Ardenne;ARDENNES;08409;SEDAN;56;1 940 909;8 059;;
Champagne-Ardenne;AUBE;10387;TROYES;400;1 708 569;5 747;;
Champagne-Ardenne;HAUTE-MARNE;52121;CHAUMONT;97;1 459 033;3 823;;
Champagne-Ardenne;HAUTE-MARNE;52448;SAINT-DIZIER;91;2 362 798;11 064;;
Champagne-Ardenne;MARNE;51108;CHALONS-EN-CHAMPAGNE;223;1 632 340;4 843;;
Champagne-Ardenne;MARNE;51230;EPERNAY;179;1 906 178;7 972;;
Champagne-Ardenne;MARNE;51454;REIMS;1 255;1 797 635;7 234;;
Corse;CORSE-DU-SUD;2A004;AJACCIO;273;1 835 568;7 712;;
Corse;HAUTE-CORSE;2B033;BASTIA;122;1 885 703;8 095;;
Franche-Comté;DOUBS;25056;BESANCON;728;1 627 170;5 969;;
Franche-Comté;DOUBS;25388;MONTBELIARD;126;1 400 951;3 858;;
Franche-Comté;JURA;39198;DOLE;130;1 400 614;3 295;;
Franche-Comté;TERRITOIRE DE BELFORT;90010;BELFORT;207;1 644 919;5 594;;
Guadeloupe;GUADELOUPE;97113;LEGOSIER;93;1 833 466;7 566;;
Guyane;GUYANE;97302;CAYENNE;58;2 498 071;15 765;;
Haute-Normandie;EURE;27229;EVREUX;318;1 505 183;4 243;;
Haute-Normandie;EURE;27681;VERNON;200;1 483 115;4 354;;
Haute-Normandie;SEINE-MARITIME;76217;DIEPPE;197;1 492 876;4 340;;
Haute-Normandie;SEINE-MARITIME;76259;FECAMP;138;1 484 027;3 692;;
Haute-Normandie;SEINE-MARITIME;76351;LEHAVRE;778;1 533 446;4 859;;
Haute-Normandie;SEINE-MARITIME;76451;MONT-SAINT-AIGNAN;524;1 840 019;7 077;;
Haute-Normandie;SEINE-MARITIME;76540;ROUEN;936;1 596 948;5 443;;
Haute-Normandie;SEINE-MARITIME;76575;SAINT-ETIENNE-DU-ROUVRAY;52;1 369 348;3 519;;
Haute-Normandie;SEINE-MARITIME;76681;SOTTEVILLE-LES-ROUEN;65;1 376 874;3 293;;
Ile de France;ESSONNE;91027;ATHIS-MONS;143;1 417 192;4 447;;
Ile de France;ESSONNE;91103;BRETIGNY-SUR-ORGE;107;1 334 110;3 488;;
Ile de France;ESSONNE;91114;BRUNOY;351;1 428 260;3 697;;
Ile de France;ESSONNE;91174;CORBEIL-ESSONNES;147;1 385 103;3 722;;
Ile de France;ESSONNE;91201;DRAVEIL;254;1 586 556;5 506;;
Ile de France;ESSONNE;91223;ETAMPES;117;1 749 745;6 214;;
Ile de France;ESSONNE;91228;EVRY;77;1 423 480;3 708;;
Ile de France;ESSONNE;91272;GIF-SUR-YVETTE;734;1 478 751;4 193;;
Ile de France;ESSONNE;91345;LONGJUMEAU;96;1 429 442;4 140;;
Ile de France;ESSONNE;91377;MASSY;192;1 277 735;3 180;;
Ile de France;ESSONNE;91421;MONTGERON;303;1 452 593;4 151;;
Ile de France;ESSONNE;91477;PALAISEAU;433;1 728 954;6 421;;
Ile de France;ESSONNE;91521;RIS-ORANGIS;110;1 415 578;3 801;;
Ile de France;ESSONNE;91570;SAINT-MICHEL-SUR-ORGE;101;1 292 436;3 405;;
Ile de France;ESSONNE;91549;SAINTE-GENEVIEVE-DES-BOIS;274;1 471 586;4 471;;
Ile de France;ESSONNE;91589;SAVIGNY-SUR-ORGE;320;1 310 945;3 358;;
Ile de France;ESSONNE;91657;VIGNEUX-SUR-SEINE;77;1 242 092;2 684;;
Ile de France;ESSONNE;91687;VIRY-CHATILLON;127;1 319 460;3 177;;
Ile de France;ESSONNE;91691;YERRES;258;1 364 430;3 111;;
Ile de France;HAUTS-DE-SEINE;92002;ANTONY;1 463;1 406 852;3 634;;
Ile de France;HAUTS-DE-SEINE;92004;ASNIERES-SUR-SEINE;1 325;1 628 593;5 718;;
Ile de France;HAUTS-DE-SEINE;92007;BAGNEUX;141;1 394 019;3 924;;
Ile de France;HAUTS-DE-SEINE;92009;BOIS-COLOMBES;552;1 438 179;3 985;;
Ile de France;HAUTS-DE-SEINE;92012;BOULOGNE-BILLANCOURT;5 132;1 945 539;8 086;;
Ile de France;HAUTS-DE-SEINE;92019;CHATENAY-MALABRY;544;1 502 208;4 419;;
Ile de France;HAUTS-DE-SEINE;92020;CHATILLON;401;1 427 012;3 762;;
Ile de France;HAUTS-DE-SEINE;92023;CLAMART;1 147;1 507 834;4 541;;
Ile de France;HAUTS-DE-SEINE;92024;CLICHY;237;1 447 772;3 863;;
Ile de France;HAUTS-DE-SEINE;92025;COLOMBES;757;1 544 152;4 961;;
Ile de France;HAUTS-DE-SEINE;92026;COURBEVOIE;1 750;1 509 884;4 553;;
Ile de France;HAUTS-DE-SEINE;92032;FONTENAY-AUX-ROSES;495;1 401 903;3 515;;
Ile de France;HAUTS-DE-SEINE;92040;ISSY-LES-MOULINEAUX;1 234;1 542 782;4 414;;
Ile de France;HAUTS-DE-SEINE;92035;LAGARENNE-COLOMBES;539;1 520 728;4 256;;
Ile de France;HAUTS-DE-SEINE;92060;LEPLESSIS-ROBINSON;303;1 408 510;3 596;;
Ile de France;HAUTS-DE-SEINE;92044;LEVALLOIS-PERRET;1 733;1 761 552;6 125;;
Ile de France;HAUTS-DE-SEINE;92046;MALAKOFF;228;1 758 911;8 355;;
Ile de France;HAUTS-DE-SEINE;92048;MEUDON;1 653;1 678 873;5 639;;
Ile de France;HAUTS-DE-SEINE;92049;MONTROUGE;649;1 668 355;6 998;;
Ile de France;HAUTS-DE-SEINE;92050;NANTERRE;464;1 406 950;3 491;;
Ile de France;HAUTS-DE-SEINE;92051;NEUILLY-SUR-SEINE;7 607;3 376 636;24 708;;
Ile de France;HAUTS-DE-SEINE;92062;PUTEAUX;542;1 562 709;4 609;;
Ile de France;HAUTS-DE-SEINE;92063;RUEIL-MALMAISON;2 478;1 646 663;5 437;;
Ile de France;HAUTS-DE-SEINE;92064;SAINT-CLOUD;2 084;2 304 732;12 362;;
Ile de France;HAUTS-DE-SEINE;92072;SEVRES;965;1 825 151;6 507;;
Ile de France;HAUTS-DE-SEINE;92073;SURESNES;869;1 696 937;5 400;;
Ile de France;HAUTS-DE-SEINE;92075;VANVES;563;1 515 618;4 324;;
Ile de France;PARIS;75101;PARIS;994;2 272 179;11 861;;
Ile de France;PARIS;75102;PARIS;555;1 777 285;5 940;;
Ile de France;PARIS;75103;PARIS;1 357;2 011 833;8 602;;
Ile de France;PARIS;75104;PARIS;1 637;2 346 786;11 951;;
Ile de France;PARIS;75105;PARIS;3 515;2 007 289;8 419;;
Ile de France;PARIS;75106;PARIS;4 829;2 902 344;18 099;;
Ile de France;PARIS;75107;PARIS;7 041;3 578 414;25 016;;
Ile de France;PARIS;75108;PARIS;4 008;2 923 659;17 704;;
Ile de France;PARIS;75109;PARIS;2 347;1 846 990;7 275;;
Ile de France;PARIS;75110;PARIS;1 328;1 628 667;5 605;;
Ile de France;PARIS;75111;PARIS;2 939;1 644 587;5 766;;
Ile de France;PARIS;75112;PARIS;3 451;1 657 389;6 047;;
